asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
大榮1村社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
北林3村社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
南平社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
見晴國民小學,W3-shelter,花蓮縣萬榮鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
林榮社區活動中心,W3-shelter,花蓮縣鳳林鎮,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
豐坪活動中心,W3-shelter,花蓮縣壽豐鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
豐山國小,W3-shelter,花蓮縣壽豐鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
豐山活動中心,W3-shelter,花蓮縣壽豐鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
光華活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
干城活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
仁安活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
南華活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
稻香活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
永興活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
仁和活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
福興活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
吉安國小,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
吉安活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
北昌活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
太昌活動中心,W3-shelter,花蓮縣吉安鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
